original,yasashii
第１号被保険者(2),国民年金だけに入っている人。会社に入らないで自分の店を持っている人、農業（野菜などを作る仕事）や漁業（魚などをとる仕事）をしている人、働いていない人などです。（→国民年金）
第２号被保険者(1),国民年金と厚生年金保険に入っている人。会社や工場、店などで働いている人です。(自分の１年の給料などが１３０万円より少ない人は国民年金だけに入っています。)（→国民年金、厚生年金保険）
第３号被保険者(1),自分の夫や妻が厚生年金保険に入っている人。（会社や工場、店で手続きが必要です。）（→厚生年金保険）
脱退一時金(2),日本の厚生年金保険をやめて自分の国に帰る人がもらうことができるお金。(手続きが必要です。)（→厚生年金保険）
特別徴収,会社が、住んでいるまちの役所に働いている人の住民税を払います。あなたの給料から、税金のお金を引いて払います。（→住民税）
年金(2),20歳以上のみんなからお金を集めて、年齢の高い人や、病気やけがで体などに障害が出た人を助ける制度。
年末調整(2),あなたが働いている会社があなたの代わりに確定申告をして、税金が足りない時は払います。多いときはお金が戻ります。（→確定申告、税金）
納税証明書,税金を納めていることを証明する紙。（手続きが必要です。）
納付書(3),税金を払う紙。（→税金）
非課税証明書,市・県民税がかかっていないことを証明する紙。（手続きが必要です。）
療養費(1),病院で払ったお金を、あとで健康保険からもらうことができるお金。（手続きが必要です。）（→健康保険）
労災保険,仕事で、けがや病気をした人にお金が出る制度。（手続きが必要です。）
老齢基礎年金(1),６５歳以上の人が、１０年以上お金を払っていた時に、国民年金からもらうことができるお金。（→国民年金）
老齢厚生年金(1),６５歳以上の人が、１０年以上お金を払っていた時に、厚生年金保険からもらうことができるお金。（→厚生年金保険）
給水(2),水を配ること。
給水所,水をもらうところ。
給水車,水を配る車。
緊急地震速報(2),強い地震が来る少し前に、テレビ、ラジオ、スマートフォンに出るお知らせ。（→地震）
洪水(3),川の水があふれること。
洪水・内水ハザードマップ,洪水などが起きたときに、どこが危険か書いている地図。（→洪水）
災害(2),地震・雨などが原因で人の命が危険になること。（→地震）
災害時要援護者登録制度,災害の時に一人で逃げることができない人が登録します。近所の人は登録した人のことを知ることができます。（手続きが必要です。）（→災害）
地震(3),地面が揺れること。大きな地震では、建物が壊れたり、火事が起きたり、電気や水道などが使うことができなくなります。
消防署,火事や事故の時に消防車や救急車を出します。
台風(3),大雨と強い風のこと。大雨で、川の水が増えたり、山の土が崩れたりするから危ないです。
避難所(2),災害のとき、逃げる場所。（→災害）
避難情報,大雨や台風など、災害が起こるかもしれないとき、市町村が市民に「逃げてください」と伝える情報。（→災害）
備蓄,災害が起きたときに使う物を用意すること。（→災害）
備蓄品,災害が起きたときにつかうための物。（→災害）
防災訓練・避難訓練(2),災害が起きた時のために安全に逃げる道や安全な場所を知るために、住んでいるまちや地域で練習すること。（→災害）
育児休業(2),仕事をしている人が、子どもを育てるために、とることができる休み。（働いている所で手続きが必要です。）
育児休業給付金,育児休業をしているあいだに、雇用保険からもらうことができるお金。（手続きが必要です。）（→育児休業、雇用保険）
産前産後休業(2),仕事をしている女の人が、赤ちゃんを産む前、産んだあとにとることができる休み。（働いている所で手続きが必要です。）
児童手当(1),子どもが中学校を卒業するまで、子どもを育てている人がもらうことができるお金。（手続きが必要です。）
児童扶養手当(1),離婚などで、１８歳までの子どもを１人で育てている人 がもらうことができるお金。（手続きが必要です。）
就学援助,学校で使う物や給食などにかかるお金をもらうこと。収入が少ない小学生や中学生の親がもらうことができます。（手続きが必要です。）
主任児童委員,妊娠の事や子育てについて話を聞いて、サポートをする人。
出産手当金(1),赤ちゃんを産むために仕事を休み、給料がもらえないとき、健康保険からもらうことができるお金。（手続きが必要です。）（→健康保険）
出産育児一時金制度,健康保険に入っている人が子どもを産んだ時に払う病院のお金の一部を健康保険が払ってくれる制度。（詳しくは保険年金課に聞いてください。）（→健康保険）
特別児童扶養手当(2),障害のある１９歳までの子どもを育てている人がもらうお金。（手続きが必要です。）
乳幼児健診,乳児（生まれてから1年から1年半くらいまでの子ども）と幼児（満１歳から小学校に入るまでの子ども）が住んでいるまちの役所が、子どもの健康について調べること。
認定こども園,小学校に入る前の子どもが通うところ。
妊婦教室,お腹に赤ちゃんがいる人に、赤ちゃんに大切なことを教えるところ。
妊婦健診,お腹の赤ちゃんが健康かどうかを調べること。
ファミリー・サポート・センター(1),まちで、子どもを育てることを助けてほしい人と助けたい人がお互いに助け合うところ。
保育園(1),お父さんやお母さんが仕事・病気などで家で子どもを 育てることができない時に、子どもの世話をしてもら うことができます。0歳から５歳の子どもを預けるこ とができます。
母子健康手帳(2),妊娠したら、住んでいるまちの役所に手続きをして、もらうことができる手帳。（手続きが必要です。）
幼稚園(2),３歳から小学校に入る前の子どもが通うところ。
印鑑登録証明書,登録したハンコ（実印）が書いてある紙。住んでいるまちの役所に、印鑑登録証を出したらもらうことができます。家や車を買うときなどに使います。（手続きが必要です。）（→実印、印鑑登録証）
印鑑登録証(1),印鑑登録が終わったら、もらうことのできるカード。 印鑑登録証明書がほしいときに使います。 （手続きが必要です。）（→印鑑登録証明書）
大家,家や、マンション、アパートなどを貸す人。
介護(2),毎日の生活（食べること、お風呂に入ることなど）をすることがむずかしい人を、手伝うこと。
介護休業(1),仕事をしている人が、家族の介護をするために、とることができる休み。（手続きが必要です。）（→介護）
介護休業給付金(2),介護休業をしているあいだに、雇用保険からもらうことができるお金。（手続きが必要です。）（→介護休業、雇用保険）
介護認定,介護が必要かどうかを決めます。（→介護）
回覧板(1),住んでいるまちの役所などからの、お知らせが書いている紙。読んだら、次の人に渡します。
眼科(1),目の病気を治すところ。
管理費（共益費）,アパートやマンションに住んでいる人が、毎月払うお金。家賃のことではありません。（→家賃）
救急車(5),急な病気の人や、けがをした人を病院に運ぶ車。呼びたいときは、携帯電話、スマートフォン、固定電話、公衆電話から119に電話をします。
ケアマネジャー(1),介護の相談を受けたり、介護のしかたを考えたりする人。（→介護）
警察署,犯罪や事故を防ぐための仕事をしています。
